player,final_rating_tuned,final_rating_human,final_rating_ai
Kevin De Bruyne,23.734262077755226,23.25999210780117,20.512307256382314
Eden Hazard,18.706397245920677,15.272883298109262,20.42217689333919
Harry Kane,17.08712586028758,12.258929497550357,17.263934489257366
Mohamed Salah,17.03616604224078,16.965888125249084,15.355263046381173
Christian Eriksen,16.08767597436257,13.637285922123304,13.391606759143558
Leroy Sane,15.590409088192468,16.029852273770544,14.846658246218723
Paul Pogba,14.477379277920006,10.92368802393055,12.860639985017691
Jan Vertonghen,14.299807654888061,9.191523836125118,10.778446399149846
Harry Maguire,13.935246088243213,12.371672866400992,10.282265691926735
Sergio Aguero,13.889334175530715,14.435519933015964,15.201336184123356
Naldo,13.493894473639925,12.681590884441059,12.559394472524016
Daniel Caligiuri,13.487262164917512,8.197453452973463,14.262670801488937
Shane Duffy,13.435962425902856,11.218016467420002,11.633447462829581
David Silva,13.20615696629318,16.10215917637314,12.4102176564607
Salif Sane,13.105301166000656,11.812487207860848,12.026331883417681
Raheem Sterling,13.058991343319432,15.497754210330832,12.394201360159151
Jamie Vardy,13.058858013204409,11.778954173330458,8.127593385683168
Lukasz Fabianski,12.913508092932398,9.715300881823426,8.482638401083017
Roberto Firmino,12.878218488812221,11.271708238022894,13.23596211757233
Benjamin Pavard,12.831058101757831,9.583116321257982,9.297583473032903
Christopher Schindler,12.700646268162183,9.025798416704605,10.44050031566359
Riyad Mahrez,12.54442753685863,13.479738926676967,11.902297471188714
Nemanja Matic,12.500665336512485,8.593207690561021,10.470738108675878
N'Golo Kante,12.392468042709973,9.280022492171,10.154786713394465
Alexis Sanchez,12.367011868845283,7.62191718815709,13.366497467637156
Ahmed Hegazi,12.3508334421447,7.837637450246662,9.133310755927932
Ashley Young,12.174456489849463,9.567499680863374,10.20836718639986
Ron-Robert Zieler,12.078095770750041,12.825399176908572,6.553705339115406
Ben Mee,12.047653138035837,12.87267129971876,9.910189705848852
Cesar Azpilicueta,12.011386424103312,9.970392193483546,10.732314536384637
Mesut Ozil,11.620409342120746,10.72197951292655,11.574417185429226
Leon Bailey,11.542001040730463,10.406060911744175,11.497644684991288
Chris Smalling,11.538909912514672,5.228290485182521,11.132144144606297
Lewis Dunk,11.368961484201375,10.851357903523828,9.32275530702896
James Rodriguez,11.354507153819478,11.164893783307297,12.532019258845105
Nicolas Otamendi,11.17669210267596,8.462857327315486,9.783532013817855
Robert Lewandowski,11.143750977988308,8.568718675220168,10.86714435703091
Aaron Mooy,11.121221453878547,11.84061137057665,7.911273013551385
Dele Alli,11.058713764102013,6.523017834826663,9.030647610464998
Kyle Walker,11.044179608823098,11.86576097558451,8.36028919231335
Andros Townsend,10.95942107615738,8.185532529460543,9.788083125571358
Emre Can,10.940521385866067,8.512478582199794,11.468697390562674
Romelu Lukaku,10.924099964192381,8.829948617958502,11.541767285601008
Thomas Delaney,10.923778904108387,5.438259871286452,8.937643847173508
Wilfried Zaha,10.914792062685757,14.162392104082349,10.007045881068908
Naby Keita,10.869701518541039,9.675108789066657,11.534950480110037
Mat Ryan,10.78795898160286,10.685264785243357,5.069319373987707
Mark Uth,10.768027915464346,9.171346336991451,9.461908987680436
Wilfred Ndidi,10.762168454643753,7.417925133784432,9.841067587076438
Joshua Kimmich,10.760092616687867,11.325754046681038,11.7374286866231
Kieran Trippier,10.687002152007198,7.961846280983897,10.85844267149473
Fernandinho,10.669540586871674,11.358355315490497,12.346386353964071
Lars Stindl,10.611918938056302,7.130001255276714,10.624487249673805
Koen Casteels,10.594907948296141,13.912382340837144,7.970793574409523
Thibaut Courtois,10.51756505970013,10.11978404263667,4.52735374289163
James Tarkowski,10.505313678734955,10.953344080258514,10.005224751725134
Abdoulaye Doucoure,10.496792209221045,7.554244237515501,9.129041635155662
Marcel Sabitzer,10.469319730619414,9.209602978971686,9.391145991651243
Abdou Diallo,10.450298843887055,11.038218856738267,8.766267434979857
Marko Arnautovic,10.445350615416018,10.728562841826824,9.665255355824282
Granit Xhaka,10.286648410515255,3.9143593275377233,8.538317221189708
Marcos Alonso,10.206934356422215,9.545458263206362,10.434510310501578
Aaron Ramsey,10.091666470963691,10.381681345944589,10.382093544476177
Sadio Mane,10.033142239507248,8.62996997423403,9.58374495301003
Arturo Vidal,10.017490719753347,7.499938933985963,11.680604725700116
Oriol Romeu,9.985655505323399,7.08726086234743,8.694866830487713
Jiri Pavlenka,9.946992330077407,14.866456606751978,7.076129766641663
Thorgan Hazard,9.918352837810874,5.074744222497609,10.37794545362339
Philipp Max,9.84794952335787,11.53498929665892,9.775268019448616
Ben Davies,9.804128931980685,8.739938143997835,9.88780353706093
Nathan Ake,9.726238458143172,10.66466407333255,7.552935683227645
Hugo Lloris,9.712659651269995,7.259553691866556,3.5177791605666116
Thilo Kehrer,9.683350239167085,7.9597946698347055,9.826643601702727
Wesley Hoedt,9.63568985022928,8.49568272970534,8.612159025015972
Kasper Schmeichel,9.547800136300728,7.944606685223079,4.6692531149499175
Christian Gentner,9.508361478805964,8.659065968043885,8.652874007803861
Max Kruse,9.435378817557103,8.03691135529894,8.664124184452845
Luka Milivojevic,9.386950498888345,6.944056527401078,8.598843399416891
Laurent Koscielny,9.382698393927539,6.140144153170203,9.069470723945203
Luis Antonio Valencia,9.365669059913252,6.71477078300762,8.709479197348664
Steve Cook,9.32996386445085,5.73992045347925,8.06707615266005
James Tomkins,9.274628109786132,6.700438674972199,10.582319874414303
Shkodran Mustafi,9.265852443098867,4.936889502716733,10.674385433404018
Jamaal Lascelles,9.26231585528184,9.530463662304223,8.672636415551919
Pirmin Schwegler,9.261618360294214,6.783833860722998,9.395413000514464
Jonathan Tah,9.24524719156418,12.151513299758351,7.293913495898401
Douglas Santos,9.23913687687293,6.32809132514026,10.088047291307946
Benjamin Hubner,9.233205097963511,9.53374926169139,9.740974955813602
Lars Bender,9.185865698512554,11.563823045377584,9.937991431754325
Dejan Lovren,9.143258555297018,6.958557945698504,8.167398409423024
Xherdan Shaqiri,9.121411564159386,8.971352380741934,7.907888728739742
Caiuby,9.005104176662062,8.187277680778912,9.721284273009012
Felix Klaus,8.94955689164019,6.9605717690665205,7.6751256799223615
Hector Bellerin,8.947382070883794,7.6214945443566195,6.018340041929956
Kurt Zouma,8.938013692867928,8.058554834210387,9.847691736973667
Arthur Masuaku,8.924369201432986,8.725519399653413,9.64927722822635
Alexandre Lacazette,8.923021006307097,8.102673992850875,8.758416552986835
Marwin Hitz,8.908661818839398,11.883663482748334,6.523743327576526
Wayne Hennessey,8.898853988018507,6.601894920278185,5.931424293110549
Mats Hummels,8.894721036455156,11.457960210031155,9.567811626292226
Emiliano Insua,8.890920383267208,5.307041779242927,7.834552169411399
Willian,8.847086014285162,7.220200976446236,9.901455451619396
Niclas Fullkrug,8.820804750647676,7.62443832402227,9.432986163146651
Yann Sommer,8.807238452191381,12.871990616689216,3.903122656053659
Henrikh Mkhitaryan,8.788908355231973,8.325527057928234,9.970612279998067
Nick Pope,8.785261598244483,10.743929939259587,7.148452738214541
Mathew Leckie,8.77685386697113,5.803849103562353,8.347257600658049
Timo Horn,8.748077907837386,12.480179256695953,5.51615917840637
Michael Gregoritsch,8.726280009952522,6.833446336814637,9.242536395110065
Zanka,8.722246655921651,6.247658396627741,5.909969070966374
Daniel Baier,8.71637180308759,9.142797450907528,6.9036284067809355
Alfie Mawson,8.711609536023731,9.244749184549603,6.798518464923701
Christian Pulisic,8.681290012086402,8.349862970044494,9.15137224118136
Andrej Kramaric,8.678256365651169,8.602847948717287,8.241077696492184
Mousa Dembele,8.672903595085495,8.621094668887244,8.676750323914632
Ihlas Bebou,8.667031306524368,7.355688491518212,9.178256676704057
Ante Rebic,8.632272754619999,9.444182644736575,8.026352240826583
Alex Oxlade-Chamberlain,8.628724021620135,7.574470712277187,10.314592980041322
Anthony Knockaert,8.601632224777331,10.967166695172075,7.31162065568472
Mohamed Diame,8.549725300057537,8.409337138825459,8.732397285109725
Richarlison,8.524323948064662,8.104942343524412,7.934283495759614
Maya Yoshida,8.49311726736123,8.173928534244011,7.612345433612461
Kai Havertz,8.472154776089836,7.660759641036909,9.101651597168976
Nico Elvedi,8.46673895498021,5.993181582257471,7.959796187863297
Pavel Kaderabek,8.458133823155542,8.746751474324784,7.3450941133808865
Jean-Philippe Gbamin,8.442111861305747,8.915764071716616,8.281779005061274
Holger Badstuber,8.436135825310387,8.30730615533416,7.216814634038738
Niklas Stark,8.4335256533631,6.886581300517777,8.009673970002263
Pierre-Emerick Aubameyang,8.430992971567452,6.962227402732728,10.698174127893328
Ilkay Gundogan,8.418524757926985,8.125765190410593,7.88166240318324
Yoshinori Muto,8.417674443939802,8.083469835996878,7.549196208646413
Leon Goretzka,8.41670467942117,7.121675229351892,8.564915835093286
Kevin Volland,8.406561889749806,8.06905221740491,9.03211596554826
Davinson Sanchez,8.361614604024659,6.588470144124244,6.216116490874002
Kingsley Coman,8.351032286698873,9.95901211618885,9.302440892108066
Maximilian Eggestein,8.32641883168363,9.829732198059542,6.328850450966213
Mike van der Hoorn,8.321966779138096,8.241571239889602,8.3101706580286
Matthias Ginter,8.313122374867572,8.145642854821736,7.3988523979389385
Son Heung-Min,8.312566686288175,9.299750849193273,9.074112526921814
David de Gea,8.288689887206543,8.723896330598608,2.2150533661562504
Vincent Kompany,8.248552511350228,9.742025822089802,8.517520241257028
Salomon Rondon,8.236472438692878,8.822639694407785,7.005838673074684
Florian Lejeune,8.232824937470179,6.186070064567248,9.168507269867982
Joseph Gomez,8.181881304606119,7.350123196224374,8.56215671157324
Jonny Evans,8.173408942039933,9.711309603460647,7.143437502295302
Waldemar Anton,8.121799168291696,8.712214721524223,8.013635300057828
Gylfi Sigurdsson,8.093010896852023,5.985586590946235,7.423321130705487
Amine Harit,8.045043410117904,9.233904147756565,7.824763307528881
Julian Brandt,8.043366281404566,6.548315125274944,8.431449658843828
Timo Baumgartl,8.02981080035621,5.585513362631241,8.005474535570212
Jordan Ayew,8.01066358330367,4.53751316244564,8.239527836229257
Dale Stephens,7.964559368756689,7.048813246115127,6.108114997994784
Petr Cech,7.961829670529584,6.243815953448485,4.519301913814089
Jordan Henderson,7.959646689849416,10.122453295834985,6.896417166176706
Craig Dawson,7.949036124873363,5.981047934269515,8.37490595693269
Sven Bender,7.943851190464695,7.612314186814011,8.32979810403886
Jerome Boateng,7.918917461131569,10.919837711324513,7.80842377665766
Fabian Delph,7.911129273970385,7.644439597242105,8.582515485540043
Virgil van Dijk,7.8981573816575175,7.49667581807268,9.502483670105521
Eric Dier,7.88419476449498,5.247931912129095,8.700639126364988
Kevin-Prince Boateng,7.8812685482556635,7.262215477371577,6.854757807244615
Marius Wolf,7.841367857024522,7.835420309575719,8.77215599165218
Benjamin Stambouli,7.833358376836202,4.496494448451511,7.043225740193321
Thomas Muller,7.827308157416731,7.314436790687126,8.969686911507795
Simon Francis,7.801491500517367,4.9290060243187535,8.153084848510419
Ralf Fahrmann,7.799473935123904,9.34529257489624,4.341394472524013
Jannik Vestergaard,7.790664825228037,6.168963322939936,7.51455419416792
Arjen Robben,7.784039340976026,7.617704729516423,9.070145415774514
Cesc Fabregas,7.781150932850176,5.848636591149962,9.397712763894303
Dayot Upamecano,7.759739518901869,6.058360852706114,8.409730225016622
Jonjo Shelvey,7.757360542031472,9.179783795679706,6.879944697846967
Joshua King,7.732727427013474,6.995345526775688,7.506407919268253
Matt Phillips,7.731474252672825,7.814646844226457,6.302169029300966
Jonathan Hogg,7.722500372463376,5.5783767428321145,7.1099253507845
Martin Hinteregger,7.7010104470501535,7.022731542559869,6.650513770265041
Diego Demme,7.6782338429916415,8.677692063426939,7.23457502368434
Pascal GroB,7.67218008518385,8.399251546886095,7.080718041605002
Josuha Guilavogui,7.667697621518412,5.624100457415318,8.232274525194502
Serge Gnabry,7.6672774520918825,10.270329732824122,9.727798534525272
Danny Latza,7.64300875007299,5.316377814132862,7.466556941049888
Phil Jones,7.629160767712197,8.051423783899033,9.235827642740256
Kyriakos Papadopoulos,7.62426401332953,6.099524407677737,7.344281316037643
Christian Benteke,7.574062775551811,2.1458484149630523,7.8228037621744555
Manuel Lanzini,7.546489046125064,6.5776638413461885,9.257881329845828
Theodor Gebre Selassie,7.53804529116381,2.081094000331613,7.0185778062098105
Jetro Willems,7.526683299841213,7.2474994836619295,8.780841908237461
Paul Dummett,7.52610553976964,7.712441125568022,7.078245944466172
Marvin Plattenhardt,7.52461747965587,4.884242178444292,6.396749173197284
Ben Foster,7.480557700769616,10.272790386141976,2.817645678827664
Jordan Pickford,7.452470202401788,8.7652538648642,2.47286975072309
Mario Lemina,7.432047941981272,9.22312517654242,8.254571783619427
Alvaro Morata,7.413564183272118,7.5146118117922605,8.514519859458902
John Stones,7.412534803143458,8.683505304908696,8.04760025707011
Mark Noble,7.402841390309385,6.976969158144802,7.116741467525023
Dusan Tadic,7.383962273143446,6.991614846568147,5.97632477801709
Jack Cork,7.373622140428992,8.743989482471198,4.8668868859763315
Angelo Ogbonna,7.361428324617341,4.594808317194338,7.221246107378054
Alexander Schwolow,7.343771277015382,9.754948017515291,4.126453296053429
Victor Moses,7.330478240980748,5.453238834183007,7.228614783366186
Sead Kolasinac,7.329221549693342,7.588728753855258,7.416638886157691
Jeffrey Gouweleeuw,7.313089157849813,9.138231956660583,6.428785790485234
Charles Aranguiz,7.308368734143764,10.003158453179326,7.509531604570776
Niklas Sule,7.297130113330006,8.317514987011856,6.698409247787152
Philipp Tschauner,7.296562732790964,11.793535921247209,3.309403049220428
Andreas Christensen,7.296073842852648,5.664267440177386,6.240511044589902
Rani Khedira,7.271778301895797,7.622936378750013,6.973320830170104
Matthew Lowton,7.26485141280453,6.699139501847062,6.607898941099963
Pierre-Emile Hrjbjerg,7.231241131592096,6.737897506171466,7.780675742843366
Raffael,7.229962976702618,5.821138959259291,8.322649432309797
Maximilian Arnold,7.220891234892743,5.649755310191289,7.125023113257934
Ederson,7.211895849580527,9.391091299543397,5.0937685276882245
Jonas Lossl,7.206968497048271,7.789778956155404,3.342176359660545
Bastian Oczipka,7.206636546951202,3.977166988743557,8.780048812022754
Kevin Kampl,7.177119740700693,6.871851344812474,6.949526624363539
Jesse Lingard,7.153528341618383,6.076504107257557,6.108223329027718
Bruno,7.142210753300304,7.138973782866657,6.465110652665206
Gabriel Jesus,7.133179294622904,8.68934687743672,7.388933994928631
Ludwig Augustinsson,7.1181111379947755,6.459968644761722,4.861049059449232
Grzegorz Krychowiak,7.116782335259273,4.011909383938063,6.962729119970129
Patrick van Aanholt,7.076593101708365,6.835661224781629,7.898257185103555
Ayoze Perez,7.051413225897516,6.577877894770891,5.8384785741326
Javi Martinez,7.0499006029943345,7.903592645571191,8.503800631513723
Janik Haberer,7.044529683964479,6.222941796250635,6.772305913075764
Bernardo Silva,7.042733152842526,7.560683682649304,7.189809727267499
Daniel Brosinski,7.037138029602286,5.483002075284518,6.773728492164507
David Alaba,7.035838763360932,8.031367046182776,8.025343719409674
Per Skjelbred,7.031256207793231,8.752063360556559,5.290507911528989
Christoph Kramer,7.014897888368234,6.854894684579872,7.912193645716139
Fabian Lustenberger,7.0036733180525825,5.697443376787485,7.110095766429225
Rune Jarstein,7.002739724921183,10.881786452309113,2.6811510061584496
Michael Keane,6.998600671242654,4.671294316263791,7.268898561148341
Jonas Hector,6.998036769864477,4.8210981433692215,7.682870820047199
Wendell,6.992816702764731,6.8338012536606225,6.678174968369909
Jack Butland,6.979033620636075,9.881824676101694,6.6305536363290285
Stefan Bell,6.974340136999723,7.270602328486965,6.771920202613259
Bernd Leno,6.96527901654628,10.871291044249457,3.0390836059326265
Joe Allen,6.957931355452917,7.962610284642755,7.214256990694508
David Abraham,6.935370945272513,7.9695241856586225,7.4503333383482016
Sven Ulreich,6.928294720822549,13.047024407677734,3.9877813160376467
Denis Zakaria,6.912388533383268,7.390462187395218,6.170823657917976
Allan-Romeo Nyom,6.89684384634495,6.32861345197745,4.864637788145837
Lukasz Piszczek,6.8749630436083695,4.514810038037302,7.472142135397789
Pascal Stenzel,6.870987048291729,5.601543429926499,6.854160343377253
Nacho Monreal,6.845539286120497,4.9648167390733695,8.876596759973033
Santiago Ascacibar,6.835088504921558,7.3618316144750615,6.1576633187867635
Steven Defour,6.826860134289348,8.881814420295617,6.321395596277823
Christian Gunter,6.81982775599956,7.2936497079704745,6.229953296053426
Andrew Robertson,6.8064267863277355,10.45675304141768,7.3481351338049565
Sebastian Rudy,6.753541291281458,6.857683839101103,6.974401258788051
Jay Rodriguez,6.750727272748062,6.503589404990165,5.331790338828284
Guido Burgstaller,6.745879499902044,7.341801906234024,5.686999461123651
Suat Serdar,6.712337098641724,7.004578731131602,6.55778773719259
DeAndre Yedlin,6.693137918674989,5.754596537842089,5.816246600969567
Marc Albrighton,6.665624248336163,6.49698174327856,6.686354218967559
Salomon Kalou,6.661294736078512,4.098458782131887,6.0235097176710255
Julian Baumgartlinger,6.6609395633919295,7.0479026282329835,6.844979076012982
Ryan Shawcross,6.656700790444404,7.1071194413739684,8.333981400029854
Joel Matip,6.636984783517359,6.433194169422552,7.784536301684463
Cheikhou Kouyate,6.6135735283375965,1.8597347965466917,6.169574266185849
Philipp Bargfrede,6.604367067240204,7.553125912244994,6.9513052139469265
