competition,team,ranking
Premier League 2017-18,Manchester City,1
Premier League 2017-18,Manchester United,2
Premier League 2017-18,Tottenham,3
Premier League 2017-18,Liverpool,4
Premier League 2017-18,Chelsea,5
Premier League 2017-18,Arsenal,6
Premier League 2017-18,Burnley,7
Premier League 2017-18,Everton,8
Premier League 2017-18,Leicester,9
Premier League 2017-18,Newcastle United,10
Premier League 2017-18,Crystal Palace,11
Premier League 2017-18,Bournemouth,12
Premier League 2017-18,West Ham,13
Premier League 2017-18,Watford,14
Premier League 2017-18,Brighton,15
Premier League 2017-18,Huddersfield,16
Premier League 2017-18,Southampton,17
Premier League 2017-18,Swansea,18
Premier League 2017-18,Stoke,19
Premier League 2017-18,West Bromwich Albion,20
Bundesliga 2017-18,Bayern Munich,1
Bundesliga 2017-18,Schalke 04,2
Bundesliga 2017-18,Hoffenheim,3
Bundesliga 2017-18,Borussia Dortmund,4
Bundesliga 2017-18,Bayer Leverkusen,5
Bundesliga 2017-18,RasenBallsport Leipzig,6
Bundesliga 2017-18,VfB Stuttgart,7
Bundesliga 2017-18,Eintracht Frankfurt,8
Bundesliga 2017-18,Borussia M.Gladbach,9
Bundesliga 2017-18,Hertha Berlin,10
Bundesliga 2017-18,Werder Bremen,11
Bundesliga 2017-18,Augsburg,12
Bundesliga 2017-18,Hannover 96,13
Bundesliga 2017-18,Mainz 05,14
Bundesliga 2017-18,Wolfsburg,15
Bundesliga 2017-18,Freiburg,16
Bundesliga 2017-18,Hamburger SV,17
Bundesliga 2017-18,FC Koln,18
Euro 2016,Portugal,1
Euro 2016,France,2
Euro 2016,Germany,4
Euro 2016,Wales,4
Euro 2016,Belgium,8
Euro 2016,Italy,8
Euro 2016,Poland,8
Euro 2016,Iceland,8
Euro 2016,Switzerland,12
Euro 2016,Ireland,12
Euro 2016,Croatia,12
Euro 2016,Hungary,12
Euro 2016,Slovakia,12
Euro 2016,England,12
Euro 2016,Spain,12
Euro 2016,Northern Ireland,12
Euro 2016,Albania,20
Euro 2016,Romania,20
Euro 2016,Russia,20
Euro 2016,Sweden,20
Euro 2016,Czech Republic,20
Euro 2016,Austria,20
Euro 2016,Turkey,20
Euro 2016,Ukraine,20
World Cup 2018,France,1
World Cup 2018,Croatia,2
World Cup 2018,Belgium,4
World Cup 2018,England,4
World Cup 2018,Uruguay,8
World Cup 2018,Brazil,8
World Cup 2018,Sweden,8
World Cup 2018,Russia,8
World Cup 2018,Portugal,12
World Cup 2018,Argentina,12
World Cup 2018,Mexico,12
World Cup 2018,Japan,12
World Cup 2018,Switzerland,12
World Cup 2018,Colombia,12
World Cup 2018,Denmark,12
World Cup 2018,Spain,12
World Cup 2018,Iran,20
World Cup 2018,Nigeria,20
World Cup 2018,Serbia,20
World Cup 2018,Germany,20
World Cup 2018,South Korea,20
World Cup 2018,Tunisia,20
World Cup 2018,Saudi Arabia,20
World Cup 2018,Morocco,20
World Cup 2018,Peru,20
World Cup 2018,Senegal,20
World Cup 2018,Iceland,20
World Cup 2018,Costa Rica,20
World Cup 2018,Australia,20
World Cup 2018,Egypt,20
World Cup 2018,Panama,20
World Cup 2018,Poland,20