Rank,Name,Domestic league
1,Luka Modric,Spain
2,Cristiano Ronaldo,Italy
3,Lionel Messi,Spain
4,Kylian Mbappé,France
5,Mohamed Salah,England
6,Antoine Griezmann,Spain
7,Eden Hazard,England
8,Kevin De Bruyne,England
9,Harry Kane,England
10,N'Golo Kanté,England
11,Neymar,France
12,Raphaël Varane,Spain
13,Ivan Rakitic ,Spain
14,Luis Suárez,Spain
15,Sergio Agüero,England
16,Paul Pogba,England
17,Sergio Ramos,Spain
18,Marcelo,Spain
19,Sadio Mané,England
20,David Silva,England
21,Edinson Cavani,France
22,Toni Kroos,Spain
23,Roberto Firmino,England
24,Virgil van Dijk,England
25,Philippe Coutinho,Spain
26,Paulo Dybala,Italy
27,Jan Oblak,Spain 
28,Isco,Spain
29,Ivan Perisic,Italy
30,Robert Lewandowski,Germany
31,Raheem Sterling,England
32,Mauro Icardi,Italy
33,Mario Mandzukic,Italy
34,Diego Godín,Spain
35,Samuel Umtiti,Spain
36,Christian Eriksen,England
37,Thibaut Courtois,Spain
38,Gareth Bale,Spain
39,David De Gea,England
40,Hugo Lloris,England
41,Romelu Lukaku,England
42,Casemiro,Spain
43,Alisson,England
44,Marc-André ter Stegen,Spain
45,Dele Alli,England
46,Dries Mertens,Italy
47,Marco Reus,Germany
48,Karim Benzema,Spain
49,Giorgio Chiellini,Italy
50,Sergio Busquets,Spain
51,Miralem Pjanic,Italy
52,Jorginho,England
53,Blaise Matuidi,Italy
54,Edin Dzeko,Italy
55,Pierre-Emerick Aubameyang,England
56,Kalidou Koulibaly,Italy
57,Leroy Sané,England
58,Lorenzo Insigne,Italy
59,Ederson,England
60,Gianluigi Buffon,France
61,Saúl Ñíguez,Spain
62,Marco Asensio,Spain
63,Fernandinho,England
64,Jordi Alba,Spain
65,Jordan Pickford,England
66,Keylor Navas,Spain
67,Joshua Kimmich,Germany
68,Bernardo Silva,England
69,Lucas Hernández,Spain
70,James Rodríguez,Germany
71,Benjamin Pavard,Germany
72,Kieran Trippier,England
73,Ciro Immobile,Italy
74,Thiago Silva,France
75,Thomas Meunier,France
76,Leonardo Bonucci,Italy
77,Marcos Alonso,England
78,Son Heung-min,England
79,Harry Maguire,England
80,Kyle Walker,England
81,Gabriel Jesus,England
82,James Milner,England
83,Gerard Piqué,Spain
84,Memphis Depay,France
85,Ante Rebić,Germany
86,John Stones,England 
87,Denis Cheryshev,Spain
88,Diego Costa,Spain
89,Matthijs de Ligt,Netherlands
90,Gonzalo Higuain,Italy
91,Willian,England
92,Frenkie de Jong,Netherlands
93,Lucas Torreira,England
94,Gonzalo Martínez,Argentina
95,Nabil Fékir,France
96,Axel Witsel,Germany